"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"ACOT9",493.028667411091,545.713345667588,686.085756295821,681.710020416076,685.318873552534,605.086433188047,617.468747634432,623.949694281767
"ACOX1",1602.18371608882,1541.02614050554,1435.52815594338,1399.15844295095,1546.950208981,1579.99741685185,1706.87488824198,1596.02582743319
"ACOX2",5.1024959111109,10.6793218330252,11.6709606174259,17.8692010593991,19.9309739511923,8.91143495122308,9.35558708537017,8.0336870508382
"ACOX3",289.566642955544,257.371656175907,255.093853495165,259.996875414257,233.03908004471,289.62163591475,279.628102884953,243.688507208759
"ACOXL",39.5443433111095,38.4455585988907,88.3658446747959,98.2806058266952,88.9228068591655,116.739797861022,132.017728871335,135.233732022443
"ACP1",3194.80025234432,3072.44089136135,2906.90283378314,2859.96562955683,3069.36998848361,3233.95974379885,3150.75382841744,3200.08534191722
"ACP2",709.246931644416,653.574496181142,543.533308754405,542.330252152763,524.337930100597,786.879706192998,699.590012050459,736.421312993501
"ACP6",542.140190555534,601.245819199319,586.048951003599,625.422037078969,571.865637214978,534.686097073385,548.861109008384,523.528606146289
"ACPL2",556.809866299977,593.770293916201,703.59219722196,776.416786030892,777.307984096498,750.342822892983,722.459224925808,761.861321987822
"ACPP",56.7652670111088,49.1248804319159,114.208686041953,79.5179447143261,105.787477125559,106.046075919555,97.7139095583107,99.0821402936711
"ACRBP",13.3940517666661,14.9510505662353,4.16820022050924,8.93460052969956,6.13260736959762,8.02029145610077,11.4346064376747,13.3894784180637
"ACRC",207.28889638888,167.665352778496,71.6930437927589,85.7721650851158,68.9918329079732,71.2914796097846,73.8051870068092,77.6589748247692
"ACSBG1",52.3005830888868,37.3776264155882,9.17004048512033,12.5084407415794,10.7320628967958,17.8228699024462,16.6321548184359,4.0168435254191
"ACSF2",276.810403177767,310.768265341033,485.178505667275,547.691012470583,463.01185640462,304.771075331829,314.971431874129,301.263264406432
"ACSF3",402.459364988873,422.901144587798,325.119617199721,319.858698963244,325.028190588674,362.695402514779,357.591328596371,373.566447863976
"ACSL1",1347.05892053328,1407.53461759272,1505.55391964794,1479.56984771825,1611.34258636177,1438.3056011274,1520.80265621073,1495.60473929771
"ACSL3",2432.61492562212,2572.64862957577,3267.03533283514,3244.15345233391,3765.42092493294,3421.99102126966,3505.22662798536,3512.0601890581
"ACSL4",3469.05940756653,3825.33308058963,5496.18881076348,5373.26875856131,6256.79266883197,3842.61075096739,3941.8206919693,3680.7676171257
"ACSL5",30.6149754666654,12.8151861996302,5.00184026461109,1.78692010593991,6.13260736959762,10.6937219414677,4.15803870460897,9.37263489264456
"ACSL6",128.200209766661,159.121895312075,236.753772524925,207.28273228903,242.237991099106,140.800672229325,147.610374013618,137.911627706056
"ACSM3",47.8358991666647,60.8721344482436,77.5285241014718,72.3702642905664,72.058136592772,53.4686097073385,57.1730321883733,74.9810791411565
"ACSS1",351.434405877764,392.999043455327,458.502024256016,490.509569080506,446.147186138227,356.457398048923,344.077702806392,377.583291389395
"ACSS2",444.554956255538,444.259788253848,570.209790165664,609.33975612551,478.343374828614,483.890917851413,451.147199450073,445.86963132152
"ACSS3",156.90174926666,206.110911377386,243.42289287774,241.234214301888,262.168965050298,223.677017275699,190.23027073586,210.214811163599
"ACTA1",92.4827383888851,84.3666424808991,50.8520426902127,48.2468428603776,39.8619479023845,57.92432718295,45.7384257506986,88.3705575592202
"ACTA2",499.40678729998,479.501550302831,235.086492436721,242.127674354858,211.574954251118,144.365246209814,168.400567536663,162.01268885857
"ACTB",50496.8507843091,45776.9130372625,35338.8351095214,35961.7671320407,28958.17199924,50610.7125184812,49124.1087659265,48514.0971521701
"ACTBL2",100.136482255551,87.5704390308066,16.672800882037,13.4019007945493,19.9309739511923,55.2508966975831,49.8964644553076,48.2021223050292
"ACTC1",9.56717983333295,7.47552528311764,5.83548030871293,9.82806058266952,9.19891105439643,12.4760089317123,11.4346064376747,6.69473920903183
"ACTG1",58240.5261414088,55347.7212640197,47664.2031615673,49217.140477903,42761.1380363618,55442.4925490344,54300.8669531647,54297.0128809318
"ACTL6A",2747.05623614433,2522.45581696055,2116.61207197459,2053.17120172496,2183.20822357675,2655.60761546448,2557.19380333451,2544.0008994321
"ACTL8",19.1343596666659,25.6303723992605,6.66912035281478,2.68038015890987,3.06630368479881,24.9520178634246,16.6321548184359,18.7452697852891
"ACTN1",2373.29841065546,2414.594666447,2064.92638924028,2306.91385676843,2151.01203488637,2169.93441062282,2234.94580372732,2238.72079150024
"ACTN2",740.49971909997,640.759309981512,547.701508974914,530.715271464154,492.141741410209,409.034864261139,398.132205966309,465.953848948615
"ACTN4",6415.75079623307,5946.24639662843,4274.07250611017,4522.69478813392,3842.07851705291,5445.77789869242,5299.42032902413,5578.05670896532
"ACTR10",1473.34569433327,1425.68946470886,1366.33603228293,1259.77867468764,1370.63774710507,1539.89595957135,1510.40755944921,1471.5036781452
"ACTR1A",3740.76731483318,3652.32806689462,3362.90393790685,3525.59336901945,3178.22376929397,4074.30805969919,3905.43785330397,3860.18662792775
"ACTR1B",1444.64415483327,1581.60756347103,1652.27456740986,1735.09942286765,1514.75402029061,1397.31300035178,1362.79718543559,1541.12896591913
"ACTR2",9486.17771074406,9341.20280734714,8310.55759965132,7678.3956952238,9735.51419923622,9846.24447760638,9950.18662012926,9619.00129553693
"ACTR3",4658.57876684426,4699.96953871439,4573.34928194274,4345.78969764587,4850.89242935172,4572.45727347256,4505.23493644382,4308.73415493289
"ACTR3B",482.823675588869,435.716330787428,459.335664300118,438.688886008248,401.685782708644,662.119616875874,687.115895936632,697.591825581117
"ACTR3BP5",15.9452997222216,8.54345746642016,9.17004048512033,9.82806058266952,9.19891105439643,29.4077353390362,28.0667612561105,13.3894784180637
"ACTR3C",32.528411433332,36.3096942322857,18.3400809702407,13.4019007945493,19.9309739511923,28.5165918439138,25.987741903806,16.0673741016764
"ACTR5",486.012735533314,474.161889386319,321.785057023313,318.071778857304,300.497761110283,453.592039017255,402.290244670918,405.701196067329
"ACTR6",1089.38287702218,1039.09801435335,1131.24953984621,1132.01388711293,1408.96654316505,1168.28912210535,1154.89525020514,1064.46353423606
"ACTR8",859.132749033299,918.421677640167,767.782480617802,733.530703488334,797.238958047691,822.52544599789,842.002837683316,798.012913716594
"ACVR1",398.632493055539,420.765280221193,445.997423594489,437.795425955278,496.741196937407,430.422308144075,421.001418841658,433.819100745263
"ACVR1B",1507.14972974438,1508.98817500646,1267.13286703481,1328.57509876632,1301.64591419709,1555.04539898843,1527.03971426764,1596.02582743319
"ACVR1C",152.437065344438,161.257759678681,265.097534024388,265.357635732077,348.025468224665,153.276681161037,171.51909656512,148.623210440507
"ACVR2A",285.101959033322,340.670366473504,366.801619404813,328.793299492944,386.35426428465,336.852241156232,334.722115721022,293.229577355594
"ACVR2B",2906.50923336655,3097.00333157731,3862.25432432386,3379.06592033237,4196.23659264717,3972.71770125525,4107.10273047751,4024.87721246994
"ACVRL1",28.06372751111,27.7662367658655,99.2031652481199,92.9198455088754,84.3233513319673,101.590358443943,106.029986967529,109.793723028122
"ACY1",22.9612315999991,13.8831183829328,30.0110415876665,29.4841817480085,29.1298850055887,21.3874438829354,23.9087225515016,17.4063219434828
"ACYP1",278.086027155544,258.43958835921,376.805299934035,370.785921982532,429.282515871833,363.586546009901,339.919664101783,360.176969445913
"ACYP2",89.2936784444408,97.1818286805293,56.6875229989257,51.8206830722574,61.3260736959762,85.5497755317415,66.5286192737435,72.3031834575438
